,película,año,imdb,metascore,votos
593,Terminator 3: La rebelión de las máquinas,(2003),6.3,66,411213
594,The Italian Job,(2003),7.0,68,380461
595,School of Rock,(2003),7.2,82,319688
596,Elf,(2003),7.1,64,289161
597,2 Fast 2 Furious,(2003),5.9,38,288659
598,Underworld,(2003),7.0,42,279130
599,Hulk,(2003),5.6,54,274370
600,Dos policías rebeldes 2,(2003),6.6,38,260724
601,Identity,(2003),7.3,64,259733
602,How to Lose a Guy in 10 Days,(2003),6.4,45,256033
603,21 Grams,(2003),7.6,70,242306
604,Old School,(2003),7.0,54,238877
605,Master and Commander: The Far Side of the World,(2003),7.5,81,231024
606,Daredevil,(2003),5.3,42,225493
607,Anger Management,(2003),6.2,52,223182
608,American Wedding,(2003),6.3,43,213044
609,Salinui chueok,(2003),8.1,82,201314
610,The League of Extraordinary Gentlemen,(2003),5.8,30,181005
611,Final Destination 2,(2003),6.2,38,175757
612,Johnny English,(2003),6.2,51,169296
613,Once Upon a Time in Mexico,(2003),6.3,56,166934
614,Monster,(2003),7.3,74,157539
615,Dogville,(2003),8.0,61,154543
616,Scary Movie 3,(2003),5.5,49,153577
617,Cold Mountain,(2003),7.2,73,153083
618,S.W.A.T.,(2003),6.0,45,151806
619,Good Bye Lenin!,(2003),7.7,68,150110
620,Bad Santa,(2003),7.1,70,149449
621,The Texas Chainsaw Massacre,(2003),6.2,38,148233
622,Freaky Friday,(2003),6.3,70,147136
623,Lara Croft: Tomb Raider - The Cradle of Life,(2003),5.5,43,142425
624,The Recruit,(2003),6.6,56,139928
625,Matchstick Men,(2003),7.3,61,135248
626,Charlie's Angels: Full Throttle,(2003),4.9,48,131082
627,The Dreamers,(2003),7.1,63,127405
628,Tears of the Sun,(2003),6.6,48,127389
629,Wrong Turn,(I) (2003),6.1,32,127170
630,Something's Gotta Give,(2003),6.7,66,126181
631,The Life of David Gale,(2003),7.5,31,123782
632,Freddy vs. Jason,(2003),5.7,37,123779
633,Brother Bear,(2003),6.8,48,118566
634,Gothika,(2003),5.8,38,116699
635,Paycheck,(2003),6.3,43,111467
636,The Rundown,(2003),6.6,59,111010
637,Shanghai Knights,(2003),6.2,58,110414
638,Cheaper by the Dozen,(2003),5.9,46,106358
639,The Core,(2003),5.5,48,105206
640,Tribunal en fuga,(2003),7.1,61,101963
641,El amor cuesta caro,(2003),6.3,71,100233
642,Holes,(2003),7.0,71,95930
643,Elephant,(2003),7.1,70,95064
644,Dreamcatcher,(2003),5.5,35,94911
645,Thirteen,(2003),6.8,70,94278
646,The Room,(2003),3.6,9,92882
647,House of 1000 Corpses,(2003),6.0,31,90304
648,Mona Lisa Smile,(2003),6.5,45,86888
649,El Gato,(2003),4.0,19,85940
650,Bom yeoreum gaeul gyeoul geurigo bom,(2003),8.0,85,85267
651,Girl with a Pearl Earring,(2003),6.9,72,80942
652,Peter Pan,(2003),6.8,64,78035
653,Ong-Bak,(2003),7.1,69,76901
654,Open Range,(2003),7.4,67,76288
655,Seabiscuit,(2003),7.3,72,75570
656,Haute tension,(2003),6.7,42,75494
657,Just Married,(2003),5.5,28,73036
658,Kal Ho Naa Ho,(2003),7.9,54,72603
659,The Station Agent,(2003),7.6,81,72142
660,Daddy Day Care,(2003),5.6,39,72027
661,Jeux d'enfants,(2003),7.5,45,71614
662,House of Sand and Fog,(2003),7.5,71,70867
663,"Legally Blonde 2: Red, White & Blonde",(2003),4.8,47,70600
664,Jeepers Creepers 2,(2003),5.6,36,68628
665,Coffee and Cigarettes,(2003),7.0,65,66043
666,"Janghwa, Hongryeon",(2003),7.1,65,65828
667,What a Girl Wants,(2003),5.8,41,65152
668,Basic,(2003),6.4,34,64980
669,Timeline,(2003),5.6,29,64836
670,Spy Kids 3: Game Over,(2003),4.3,57,63829
671,Out of Time,(I) (2003),6.5,63,63594
672,Secondhand Lions,(2003),7.5,52,59879
673,Duplex,(2003),5.9,50,59638
674,Sinbad: Legend of the Seven Seas,(2003),6.7,48,57613
675,Les triplettes de Belleville,(2003),7.7,91,56081
676,Under the Tuscan Sun,(2003),6.7,52,55860
677,Open Water,(2003),5.8,63,55610
678,Stuck on You,(2003),5.8,62,54494
679,The Haunted Mansion,(2003),5.1,34,53239
680,National Security,(2003),5.6,31,52907
681,Bulletproof Monk,(2003),5.4,40,51503
682,American Splendor,(2003),7.4,90,51176
683,Zatôichi,(2003),7.5,75,50775
684,Gigli,(2003),2.6,18,50116
685,The Hunted,(2003),6.0,40,49860
686,11:14,(2003),7.1,65,49166
687,A Man Apart,(2003),6.0,36,48770
688,Swimming Pool,(2003),6.7,70,47534
689,Honey,(2003),5.3,37,46734
690,Vozvrashchenie,(2003),7.9,82,46616
691,Cradle 2 the Grave,(2003),5.8,36,46002
692,Tôkyô goddofâzâzu,(2003),7.8,74,43848
693,Down with Love,(2003),6.3,52,43430
694,The Medallion,(2003),5.2,38,43080
695,Radio,(2003),6.9,38,42763
696,Dumb and Dumberer: When Harry Met Lloyd,(2003),3.4,19,41526
697,The Lizzie McGuire Movie,(2003),5.5,56,41183
698,Uptown Girls,(2003),6.1,33,41022
699,Ondskan,(2003),7.7,61,40502
700,Looney Tunes: Back in Action,(2003),5.8,64,39392
701,Hollywood Homicide,(2003),5.3,47,38585
702,Bringing Down the House,(2003),5.6,39,38507
703,House of the Dead,(2003),2.1,15,38138
704,The Missing,(I) (2003),6.5,55,37477
705,Touching the Void,(2003),8.0,82,37292
706,Shattered Glass,(2003),7.1,73,36782
707,Agent Cody Banks,(2003),5.1,41,36233
708,The Cooler,(2003),6.9,69,35032
709,Confidence,(2003),6.6,59,35001
710,Kangaroo Jack,(2003),4.5,16,32971
711,Darkness Falls,(2003),4.9,23,32839
712,Anything Else,(2003),6.3,43,32096
713,The Human Stain,(2003),6.2,57,31751
714,My Boss's Daughter,(2003),4.7,15,30276
715,Les invasions barbares,(2003),7.5,70,29752
716,A Mighty Wind,(2003),7.2,81,28970
717,Beyond Borders,(2003),6.4,32,28787
718,View from the Top,(2003),5.3,27,28058
719,Ned Kelly,(2003),6.4,56,27685
720,Calendar Girls,(2003),6.9,60,27467
721,From Justin to Kelly,(2003),1.9,14,26896
722,Capturing the Friedmans,(2003),7.7,90,26542
723,Kontroll,(2003),7.6,72,26523
724,In the Cut,(2003),5.4,47,25663
725,My Life Without Me,(2003),7.4,57,25573
726,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,(2003),8.1,87,24561
727,Cold Creek Manor,(2003),5.0,37,24078
728,The United States of Leland,(2003),7.0,37,23912
729,De grønne slagtere,(2003),7.2,54,23586
730,Wonderland,(2003),6.5,43,22902
731,La meglio gioventù,(2003),8.5,89,22719
732,Pieces of April,(2003),7.0,70,21729
733,The Corporation,(2003),8.0,73,21576
734,Veronica Guerin,(2003),6.8,55,21378
735,Saints and Soldiers,(2003),6.7,56,21141
736,Carandiru,(2003),7.5,71,21054
737,Code 46,(2003),6.1,57,20908
738,Head of State,(2003),5.5,44,20834
739,Malibu's Most Wanted,(2003),5.2,43,20447
740,Willard,(2003),6.1,61,20114
741,Chakushin ari,(2003),6.2,54,18871
742,The Order,(2003),5.1,21,18249
743,Latter Days,(2003),7.1,45,18241
744,A Guy Thing,(2003),5.6,27,17932
745,The In-Laws,(I) (2003),5.7,46,17630
746,The Jungle Book 2,(2003),5.3,38,17368
747,Gods and Generals,(2003),6.2,30,16907
748,Party Monster,(2003),6.2,36,16829
749,Intermission,(2003),6.8,64,16266
750,The Brown Bunny,(2003),4.9,51,16198
751,Luther,(2003),6.6,47,15773
752,Io non ho paura,(2003),7.4,73,15374
753,Dickie Roberts: Former Child Star,(2003),5.5,36,15232
754,Azumi,(2003),6.8,49,15021
755,Politiki kouzina,(2003),7.5,48,14622
756,Undead,(2003),5.4,34,14613
757,Young Adam,(2003),6.4,67,14439
758,Owning Mahowny,(2003),7.0,70,13894
759,Biker Boyz,(2003),4.6,36,13869
760,Alex & Emma,(2003),5.5,32,13753
761,Grind,(2003),5.9,30,13082
762,Shade,(2003),6.3,40,13019
763,Gokudô kyôfu dai-gekijô: Gozu,(2003),6.9,58,12501
764,Le divorce,(2003),4.9,51,11870
765,The Shape of Things,(2003),6.6,59,11747
766,La finestra di fronte,(2003),7.2,55,11480
767,Monsieur Ibrahim et les fleurs du Coran,(2003),7.3,69,11415
768,Ruang rak noi nid mahasan,(2003),7.5,73,11411
769,Eternal Sunshine of the Spotless Mind,(2004),8.3,89,1043171
770,Kill Bill: Vol. 2,(2004),8.0,83,782361
771,The Incredibles,(2004),8.0,90,775551
772,Million Dollar Baby,(2004),8.1,86,705838
773,Spider-Man 2,(2004),7.5,83,683707
774,Harry Potter and the Prisoner of Azkaban,(2004),7.9,82,664637
775,The Notebook,(2004),7.8,53,596060
776,Shaun of the Dead,(2004),7.9,76,577492
777,"I, Robot",(2004),7.1,59,560250
778,Troy,(2004),7.3,56,554135
779,The Butterfly Effect,(2004),7.6,30,507614
780,Shrek 2,(2004),7.3,75,487749
781,The Terminal,(2004),7.4,55,479018
782,The Bourne Supremacy,(2004),7.7,73,477230
783,The Day After Tomorrow,(2004),6.5,47,464479
784,Crash,(I) (2004),7.7,66,444142
785,Saw,(2004),7.6,46,441853
786,Hauru no ugoku shiro,(2004),8.2,82,421494
787,Collateral,(2004),7.5,71,421257
788,Chicas pesadas,(2004),7.1,66,406339
789,The Machinist,(2004),7.6,61,405317
790,Ocean's Twelve,(2004),6.5,58,404439
791,Man on Fire,(2004),7.7,47,376332
792,The Aviator,(2004),7.5,77,374718
793,Como si fuera la primera vez,(2004),6.8,48,370392
794,Anchorman: The Legend of Ron Burgundy,(2004),7.1,63,370033
795,La caída,(2004),8.2,82,365981
796,Hotel Rwanda,(2004),8.1,79,364855
797,La Leyenda del Tesoro Perdido,(2004),6.9,40,346043
798,Hellboy,(2004),6.8,72,341300
799,Meet the Fockers,(2004),6.3,41,280234
800,Before Sunset,(2004),8.1,91,278049
801,Van Helsing,(2004),6.0,35,277323
802,The Village,(2004),6.6,44,270944
803,Dawn of the Dead,(2004),7.3,59,265130
804,Pelotas en juego,(2004),6.7,55,260423
805,The Passion of the Christ,(2004),7.2,47,243538
806,La batalla de Riddick,(2004),6.6,38,237361
807,La chica de al lado,(2004),6.7,47,233074
808,Napoleon Dynamite,(2004),7.0,64,230193
809,Closer,(I) (2004),7.2,65,229566
810,The Polar Express,(2004),6.6,61,225170
811,Garden State,(2004),7.4,67,220821
812,EuroTrip,(2004),6.6,45,216664
813,A Series of Unfortunate Events,(2004),6.8,62,216050
814,Finding Neverland,(2004),7.7,67,209793
815,Alien vs. depredador,(2004),5.6,29,207281
816,The Life Aquatic with Steve Zissou,(2004),7.2,62,206047
817,Resident Evil: Apocalypse,(2004),6.1,35,205881
818,13 Going on 30,(2004),6.3,57,205618
819,Secret Window,(2004),6.5,46,204313
820,Harold & Kumar Go to White Castle,(2004),7.0,64,202256
821,Entre copas,(2004),7.5,94,197525
822,Shark Tale,(2004),6.0,48,192825
823,Layer Cake,(2004),7.3,73,189800
824,Blade: Trinity,(2004),5.8,38,184108
825,Team America: World Police,(2004),7.2,64,175228
826,Alexander,(2004),5.6,40,173695
827,King Arthur,(2004),6.3,46,172829
828,The Punisher,(2004),6.4,33,166646
829,White Chicks,(2004),5.7,41,156071
830,Ray,(I) (2004),7.7,73,153720
831,Starsky & Hutch,(2004),6.1,55,151921
832,The Grudge,(2004),5.9,49,148521
833,Kung fu,(2004),7.7,78,146417
834,Along Came Polly,(2004),6.0,44,141080
835,Fahrenheit 9/11,(2004),7.5,67,131237
836,The Phantom of the Opera,(2004),7.2,40,127415
837,Catwoman,(2004),3.4,27,123328
838,Bridget Jones: The Edge of Reason,(2004),6.0,44,118688
839,Shi mian mai fu,(2004),7.5,89,114780
840,The Manchurian Candidate,(2004),6.6,76,114056
841,Super Size Me,(2004),7.2,73,111600
842,Primer,(2004),6.8,68,111196
843,The Ladykillers,(2004),6.2,56,107414
844,Cellular,(2004),6.5,60,103760
845,Diarios de motocicleta,(2004),7.7,75,103461
846,Walking Tall,(2004),6.3,44,102611
847,The SpongeBob SquarePants Movie,(2004),7.1,66,98003
848,Taking Lives,(2004),6.2,38,93460
849,Around the World in 80 Days,(2004),5.8,49,93051
850,A Cinderella Story,(2004),5.9,25,91527
851,Garfield,(2004),5.0,27,91004
852,Spanglish,(2004),6.4,48,87107
853,Sky Captain and the World of Tomorrow,(2004),6.1,64,86505
854,The Princess Diaries 2: Royal Engagement,(2004),5.8,43,85957
855,Hidalgo,(2004),6.7,54,84288
856,Mar adentro,(I) (2004),8.0,74,83870
857,Un long dimanche de fiançailles,(2004),7.6,76,75106
858,Mysterious Skin,(2004),7.6,73,73547
859,Banlieue 13,(2004),7.1,70,72584
860,Ella Enchanted,(2004),6.3,53,72108
861,The Stepford Wives,(2004),5.3,42,68429
862,Jersey Girl,(2004),6.2,43,68363
863,The Forgotten,(2004),5.8,43,67659
864,Wimbledon,(2004),6.3,59,65724
865,I Heart Huckabees,(2004),6.5,55,65707
866,Friday Night Lights,(2004),7.2,70,65621
867,Les choristes,(2004),7.8,56,65231
868,Mindhunters,(2004),6.3,33,62980
869,La mala educación,(2004),7.4,81,62191
870,Scooby-Doo 2: Monsters Unleashed,(2004),5.2,34,62088
871,2046,(2004),7.4,78,60124
872,Ladder 49,(2004),6.5,47,58820
873,Wicker Park,(2004),6.9,40,57801
874,The Whole Ten Yards,(2004),5.5,24,57609
875,Miracle,(2004),7.4,68,57135
876,Bin-jip,(2004),7.9,72,56978
877,Gegen die Wand,(2004),7.9,78,56294
878,Dead Man's Shoes,(2004),7.6,52,56244
879,In Good Company,(2004),6.5,66,56033
880,Flight of the Phoenix,(2004),6.1,47,55912
881,Veer-Zaara,(2004),7.8,67,55406
882,Nochnoy dozor,(2004),6.4,58,54829
883,Alfie,(2004),6.2,49,54231
884,Christmas with the Kranks,(2004),5.4,22,53546
885,Kinsey,(2004),7.1,79,50405
886,Without a Paddle,(2004),5.8,29,49932
887,After the Sunset,(2004),6.2,38,49006
888,Shall We Dance?,(2004),6.2,47,48570
889,Saved!,(2004),6.7,62,48063
890,Seed of Chucky,(2004),4.9,46,48045
891,Taxi,(I) (2004),4.5,27,44036
892,The Prince & Me,(2004),5.8,47,40723
893,Taegukgi hwinalrimyeo,(2004),8.0,64,40559
894,Chasing Liberty,(2004),6.1,46,40494
895,Innocence,(I) (2004),7.4,66,39588
896,Birth,(2004),6.2,51,38257
897,Exorcist: The Beginning,(2004),5.1,30,38233
898,Raising Helen,(2004),6.0,38,37802
899,The Merchant of Venice,(2004),7.0,63,37553
900,The Libertine,(2004),6.2,44,37264
901,"María, llena eres de gracia",(2004),7.4,87,35760
902,The Woodsman,(2004),7.2,72,34758
903,The Final Cut,(2004),6.1,43,33914
904,Anacondas: The Hunt for the Blood Orchid,(2004),4.7,40,33004
905,Mean Creek,(2004),7.2,74,32924
906,Melinda and Melinda,(2004),6.4,54,32861
907,Spartan,(2004),6.5,60,32642
908,Die fetten Jahre sind vorbei,(2004),7.4,68,32139
909,Envy,(2004),4.8,31,31832
910,Superbabies: Baby Geniuses 2,(2004),1.5,9,31548
911,Club Dread,(2004),5.6,45,31019
912,Confessions of a Teenage Drama Queen,(2004),4.7,33,30536
913,Dare mo shiranai,(2004),8.0,88,29895
914,Torque,(2004),4.1,41,29113
915,Dirty Dancing: Havana Nights,(2004),5.9,39,29007
916,Win a Date with Tad Hamilton!,(2004),5.6,52,28939
917,Raise Your Voice,(2004),5.8,33,28526
918,You Got Served,(2004),3.8,37,28372
919,A Love Song for Bobby Long,(2004),7.1,48,26815
920,Vera Drake,(2004),7.6,83,26331
921,Surviving Christmas,(2004),5.4,19,26193
922,Godsend,(2004),4.8,24,26170
923,Millones,(2004),6.8,74,26091
924,The Assassination of Richard Nixon,(2004),6.9,63,25981
925,The Perfect Score,(2004),5.7,35,25885
926,First Daughter,(2004),5.1,31,25721
927,Vacas Vaqueras,(2004),5.4,50,24866
928,New York Minute,(I) (2004),4.9,33,24446
929,Laws of Attraction,(2004),5.8,38,24114
930,Soul Plane,(2004),4.5,33,23933
931,Pusher II,(2004),7.3,78,23902
932,9 Songs,(2004),4.7,43,23438
933,Vanity Fair,(2004),6.2,53,23217
934,Twisted,(I) (2004),5.3,26,22674
935,Dear Frankie,(2004),7.7,63,22244
936,The Alamo,(2004),6.0,47,21805
937,Black Friday,(2004),8.4,76,21604
938,Bride & Prejudice,(2004),6.2,55,21389
939,My Summer of Love,(2004),6.7,82,21331
940,Sam gang 2,(2004),6.9,66,20496
941,It's All Gone Pete Tong,(2004),7.2,56,20434
942,Suspect Zero,(2004),5.8,37,20408
943,Lakposhtha parvaz mikonand,(2004),8.0,85,20331
944,Metallica: Some Kind of Monster,(2004),7.5,74,19946
945,Little Black Book,(2004),5.3,36,18700
946,The Big Bounce,(2004),4.9,42,18612
947,Appurushîdo,(2004),6.9,40,18378
948,Suchîmubôi,(2004),6.8,66,18339
949,Born Into Brothels: Calcutta's Red Light Kids,(2004),7.2,78,17719
950,Sleepover,(2004),5.3,33,17551
951,D.E.B.S.,(2004),5.4,42,17036
952,Napola - Elite für den Führer,(2004),7.4,65,16728
953,The Door in the Floor,(2004),6.6,67,16013
954,Inside I'm Dancing,(2004),7.7,59,15743
955,Batman Begins,(2005),8.2,70,1528543
956,V de venganza,(2005),8.2,62,1151263
957,Star Wars. Episodio III: La venganza de los sith,(2005),7.6,68,821005
958,Sin City,(2005),8.0,74,783023
959,Harry Potter and the Goblet of Fire,(2005),7.7,81,655587
960,Mr. & Mrs. Smith,(2005),6.5,55,519431
961,Charlie and the Chocolate Factory,(2005),6.7,72,504109
962,War of the Worlds,(2005),6.5,73,463996
963,Virgen a los 40,(2005),7.1,73,454325
964,King Kong,(2005),7.2,81,436963
965,Madagascar,(2005),6.9,57,422814
966,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,75,414216
967,Brokeback Mountain,(2005),7.7,87,371487
968,Wedding Crashers,(2005),7.0,64,367696
969,Constantine,(2005),7.0,50,362157
970,Fantastic Four,(I) (2005),5.7,40,338236
971,El Señor de la guerra,(2005),7.6,62,329093
972,Hitch,(I) (2005),6.6,58,327835
973,The Island,(2005),6.8,50,322738
974,Orgullo y prejuicio,(2005),7.8,82,314943
975,Serenity,(2005),7.8,74,301800
976,Kingdom of Heaven,(2005),7.2,63,300321
977,Corpse Bride,(2005),7.3,83,287604
978,Saw II,(2005),6.6,40,263622
979,Walk the Line,(2005),7.8,72,259645
980,A History of Violence,(2005),7.4,82,246888
981,The Descent,(2005),7.2,71,236946
982,Munich,(2005),7.5,74,233613
983,Kiss Kiss Bang Bang,(2005),7.5,72,233040
984,Thank You for Smoking,(2005),7.5,71,226233
985,Match Point,(2005),7.6,72,223819
986,Transporter 2,(2005),6.3,56,210346
987,The Hitchhiker's Guide to the Galaxy,(2005),6.7,63,204514
988,Jarhead,(2005),7.0,58,199674
989,Cinderella Man,(2005),8.0,69,193722
990,The Longest Yard,(2005),6.4,48,188795
991,Hostel,(2005),5.9,55,186476
992,Flightplan,(2005),6.3,53,168058
993,Hard Candy,(2005),7.0,58,165236
994,Coach Carter,(2005),7.3,57,164450
995,Hooligans,(2005),7.4,55,157507
996,Memoirs of a Geisha,(2005),7.3,54,156429
997,Robots,(2005),6.4,64,156371
998,Four Brothers,(2005),6.8,49,152862
999,Fun with Dick and Jane,(2005),6.2,47,150468
1000,The Constant Gardener,(2005),7.4,82,146365
1001,The Curse of the Were-Rabbit,(2005),7.5,87,141810
1002,Capote,(2005),7.3,88,137651
1003,The Exorcism of Emily Rose,(2005),6.7,46,135776
1004,Syriana,(2005),6.9,76,132895
1005,Æon Flux,(2005),5.4,36,131223
1006,Red Eye,(2005),6.5,71,130406
1007,House of Wax,(2005),5.5,41,130374
1008,The Brothers Grimm,(2005),5.9,51,124416
1009,Solo amigos,(I) (2005),6.2,47,123428
1010,The Skeleton Key,(2005),6.5,47,119823
1011,The Jacket,(2005),7.1,44,117224
1012,Doom: La puerta del infierno,(2005),5.2,34,116807
1013,The Amityville Horror,(2005),5.9,33,115160
1014,Just Like Heaven,(2005),6.7,47,114969
1015,Hostage,(2005),6.5,44,112554
1016,Zathura: A Space Adventure,(2005),6.2,67,111081
1017,The Interpreter,(2005),6.4,62,109492
1018,Brick,(2005),7.2,72,108697
1019,Unleashed,(2005),7.0,58,106436
1020,The Legend of Zorro,(2005),5.9,47,105503
1021,Broken Flowers,(2005),7.2,79,105346
1022,The Devil's Rejects,(2005),6.7,53,103690
1023,Waiting...,(I) (2005),6.7,30,102944
1024,Sahara,(2005),6.0,41,101409
1025,"Good Night, and Good Luck.",(2005),7.4,80,100055
1026,Revolver,(2005),6.3,25,99903
1027,Land of the Dead,(2005),6.2,71,99139
1028,The Ring Two,(2005),5.4,44,99131
1029,The Pacifier,(2005),5.6,30,98547
1030,Chicken Little,(2005),5.7,48,97628
1031,Elektra,(2005),4.7,34,95941
1032,Sky High,(2005),6.3,62,91903
1033,The New World,(2005),6.7,69,88446
1034,Hide and Seek,(2005),5.9,35,87494
1035,The Squid and the Whale,(2005),7.3,82,87054
1036,Chinjeolhan geumjassi,(2005),7.5,75,83519
1037,Stay,(I) (2005),6.7,41,83125
1038,Caché,(2005),7.3,86,83105
1039,The Weather Man,(2005),6.6,61,82152
1040,Nanny McPhee,(2005),6.6,59,82108
1041,Assault on Precinct 13,(2005),6.3,54,80905
1042,The Dukes of Hazzard,(2005),5.1,33,80770
1043,Into the Blue,(2005),5.9,45,78439
1044,Miss Congeniality 2: Armed & Fabulous,(2005),5.1,34,78358
1045,Wolf Creek,(2005),6.2,54,76266
1046,Descarrilados,(I) (2005),6.6,40,75354
1047,Bewitched,(2005),4.8,34,74212
1048,xXx 2: Estado de emergencia,(2005),4.5,37,72526
1049,Elizabethtown,(2005),6.3,45,71785
1050,La joya de la familia,(2005),6.3,56,71326
1051,Be Cool,(2005),5.6,37,71256
1052,A Lot Like Love,(2005),6.6,48,70578
1053,Domino,(2005),5.9,36,68620
1054,Harsh Times,(2005),6.8,56,67523
1055,Goal!,(2005),6.7,53,65005
1056,Dark Water,(2005),5.6,52,64510
1057,Hoodwinked!,(2005),6.5,45,64452
1058,En sus zapatos,(2005),6.5,60,64085
1059,Monster-in-Law,(2005),5.5,31,64061
1060,The Sisterhood of the Traveling Pants,(2005),6.5,66,63458
1061,Cheaper by the Dozen 2,(2005),5.5,34,61392
1062,Dicen por ahí...,(2005),5.5,35,60343
1063,Grizzly Man,(2005),7.8,87,59704
1064,Everything Is Illuminated,(2005),7.4,58,59349
1065,March of the Penguins,(2005),7.5,79,59213
1066,Son of the Mask,(2005),2.2,20,58278
1067,Lords of Dogtown,(2005),7.1,56,56944
1068,The World's Fastest Indian,(2005),7.8,68,56895
1069,Casanova,(2005),6.5,57,55658
1070,Stealth,(2005),5.1,35,55466
1071,The Wedding Date,(2005),6.1,32,55203
1072,Rent,(2005),6.8,53,55023
1073,The Proposition,(2005),7.3,73,54126
1074,Adams æbler,(2005),7.7,51,52930
1075,Deuce Bigalow: European Gigolo,(2005),4.7,23,52461
1076,White Noise,(I) (2005),5.5,30,50111
1077,Herbie Fully Loaded,(2005),4.9,47,49698
1078,Get Rich or Die Tryin',(2005),5.4,45,48869
1079,Two for the Money,(2005),6.2,50,47622
1080,Amor en juego,(2005),6.2,56,46693
1081,Alone in the Dark,(2005),2.4,9,46547
1082,The Matador,(2005),6.7,65,45950
1083,Proof,(2005),6.7,64,45729
1084,Conquistando a mi suegro,(2005),5.9,49,44593
1085,North Country,(2005),7.3,68,44206
1086,The Producers,(2005),6.3,52,43980
1087,Hustle & Flow,(2005),7.3,68,42284
1088,Transamerica,(2005),7.4,66,42006
1089,Prime,(2005),6.2,58,41691
1090,The Three Burials of Melquiades Estrada,(2005),7.3,77,41419
1091,The Adventures of Sharkboy and Lavagirl 3-D,(2005),3.7,38,40613
1092,The Cave,(2005),5.1,30,40421
1093,Kicking & Screaming,(2005),5.6,45,39926
1094,The Fog,(2005),3.7,27,38523
1095,Tom yum goong,(2005),7.0,52,38394
1096,The Ringer,(2005),5.8,46,38132
1097,Me and You and Everyone We Know,(2005),7.2,76,37046
1098,BloodRayne,(2005),3.0,18,36661
1099,Keeping Mum,(2005),6.8,53,35482
1100,Angel-A,(2005),7.0,48,34988
1101,Imagine Me & You,(2005),6.7,49,34783
1102,Tideland,(2005),6.3,26,34210
1103,Cursed,(2005),5.0,31,34177
1104,Are We There Yet?,(2005),4.7,27,33750
1105,Oliver Twist,(2005),6.8,65,33727
1106,C.R.A.Z.Y.,(2005),7.9,81,33723
1107,Feast,(2005),6.2,43,33129
1108,Must Love Dogs,(2005),5.9,46,32628
1109,The Greatest Game Ever Played,(2005),7.4,55,32504
1110,An Unfinished Life,(2005),7.0,49,32476
1111,Boogeyman,(2005),4.2,32,32053
1112,The Perfect Man,(2005),5.4,27,31557
1113,Noche de paz,(2005),7.7,70,30921
1114,"Yours, Mine & Ours",(2005),5.5,38,29636
1115,Tsotsi,(2005),7.2,70,29031
1116,Ice Princess,(2005),6.0,55,28299
1117,Sophie Scholl - Die letzten Tage,(2005),7.6,76,28259
1118,Cry Wolf,(2005),5.8,39,28112
1119,An American Haunting,(2005),5.0,38,26480
1120,The Man,(2005),5.5,33,26352
1121,Man of the House,(I) (2005),5.4,35,24792
1122,The Ice Harvest,(2005),6.2,62,24618
1123,Manderlay,(2005),7.2,46,24536
1124,Shopgirl,(2005),6.3,62,24436
1125,Little Manhattan,(2005),7.4,52,24344
1126,London,(I) (2005),6.4,24,24237
1127,Valiant,(2005),5.5,45,23864
1128,The Great Raid,(2005),6.6,48,23711
1129,Paradise Now,(2005),7.4,71,23694
1130,Breakfast on Pluto,(2005),7.2,59,23596
1131,Mirrormask,(2005),6.7,55,23407
1132,Last Days,(2005),5.7,67,23362
1133,Junebug,(2005),6.9,80,23237
1134,The Upside of Anger,(2005),6.8,63,22609
1135,Bad News Bears,(2005),5.8,65,22360
1136,Thumbsucker,(2005),6.5,69,21749
1137,Les poupées russes,(2005),7.0,67,21034
1138,Kinky Boots,(2005),7.1,57,21001
1139,De battre mon coeur s'est arrêté,(2005),7.2,75,20236
1140,A Sound of Thunder,(2005),4.2,24,20234
1141,L'enfant,(2005),7.4,87,19182
1142,The Chumscrubber,(2005),6.9,41,18945
1143,Down in the Valley,(2005),6.4,65,18772
1144,Where the Truth Lies,(2005),6.4,47,18545
1145,Beowulf & Grendel,(2005),5.8,53,18379
1146,Beauty Shop,(2005),5.6,53,18199
1147,Racing Stripes,(2005),5.2,43,17859
1148,13 Tzameti,(2005),7.3,61,17812
1149,Pusher III,(2005),7.3,72,17292
1150,The Quiet,(2005),6.1,29,17249
1151,The Aristocrats,(2005),6.4,72,16924
1152,Mrs. Henderson Presents,(2005),7.0,71,16158
1153,The Prestige,(2006),8.5,66,1390268
1154,The Departed,(2006),8.5,85,1374998
1155,300,(2006),7.6,52,844188
1156,Pirates of the Caribbean: Dead Man's Chest,(2006),7.4,53,745360
1157,El laberinto del fauno,(2006),8.2,98,686989
1158,Casino Royale,(2006),8.0,80,677433
1159,Blood Diamond,(2006),8.0,64,569937
1160,En busca de la felicidad,(2006),8.0,64,539824
1161,X-Men: The Last Stand,(2006),6.6,58,530731
1162,Children of Men,(2006),7.9,84,515737
1163,Pequeña Miss Sunshine,(2006),7.8,80,502356
1164,The Da Vinci Code,(2006),6.6,46,448102
1165,Cars,(2006),7.2,73,447307
1166,The Devil Wears Prada,(2006),6.9,62,441740
1167,Borat,(2006),7.4,89,427984
1168,The Lives of Others,(2006),8.4,89,400278
1169,Inside Man,(2006),7.6,76,387235
1170,The Illusionist,(2006),7.5,68,382979
1171,Mission: Impossible III,(2006),6.9,66,379222
